Organization Group,Job,Total Compensation
Culture & Recreation,Park Patrol Officer,74587.97
"Public Works, Transportation & Commerce",Planner 4-Environmental Review,173449.75
"Public Works, Transportation & Commerce",Asst Engr,54385.86
"Public Works, Transportation & Commerce",Transit Operator,123099.6
Public Protection,Sergeant 3,232926.89
Human Welfare & Neighborhood Development,Eligibility Worker Supervisor,33212.42
"Public Works, Transportation & Commerce",Custodian,107022.52
Public Protection,EMT/Paramedic/Firefighter,76942.79
"Public Works, Transportation & Commerce",Transit Operator,51062.68
"Public Works, Transportation & Commerce",Electronic Maintenance Tech,180608.65
Public Protection,Firefighter,34266.15
General Administration & Finance,Planner 2,114332.98
Public Protection,Firefighter,179159.74
Public Protection,Senior Deputy Sheriff,140126.4
"Public Works, Transportation & Commerce",Truck Driver,128565.73
Community Health,Registered Nurse,96224.19
General Administration & Finance,Clerk,10469.45
Community Health,Registered Nurse,161965.52
Public Protection,Firefighter,218817.79
General Administration & Finance,Customer Service Agent,75294.68
Culture & Recreation,Manager IV,206719.22
Public Protection,Secretary 1,89125.38
Community Health,Food Service Worker,39615.85
Human Welfare & Neighborhood Development,Senior Administrative Analyst,143104.02
Community Health,Food Service Supervisor,80507.87
General Administration & Finance,Janitorial Services Supervisor,112759.92
General Administration & Finance,Custodian,87475.07
General Administration & Finance,Community Development Spec,118490.89
"Public Works, Transportation & Commerce",Manager V,36068.24
"Public Works, Transportation & Commerce",Transit Supervisor,206788.98
Community Health,Registered Nurse,176990.87
Community Health,Senior Physical Therapist,148878.75
Community Health,Nursing Supervisor,27306.08
Community Health,Clinical Pharmacist,187794.07
Community Health,Nursing Assistant,107589.84
"Public Works, Transportation & Commerce","Chf Stationary Eng, Sew Plant",166413.58
Community Health,Registered Nurse,159425.21
Community Health,Special Nurse,58972.3
Human Welfare & Neighborhood Development,Community Development Spec,60704.04
Human Welfare & Neighborhood Development,PS Aide To Prof,38270.17
Public Protection,Deputy Sheriff,169742.68
"Public Works, Transportation & Commerce",Electrical Inspector,185229.55
Community Health,Clerk,87254.73
Culture & Recreation,Payroll Clerk,17450.44
General Administration & Finance,IS Prg Analyst-Principal,106533.48
Human Welfare & Neighborhood Development,Management Assistant,117081.38
Human Welfare & Neighborhood Development,Senior Eligibility Worker,103176.15
General Administration & Finance,Custodian,10772.58
Public Protection,IT Operations Support Admin IV,184398.46
"Public Works, Transportation & Commerce",Janitorial Svcs Asst Sprv,120756.65
Public Protection,Police Officer 3,176583.33
Public Protection,Attorney (Civil/Criminal),150767.67
"Public Works, Transportation & Commerce",Asst Harbormaster (OCII),18400.62
Community Health,Stationary Engineer,132796.35
"Public Works, Transportation & Commerce",Transit Operator,128648.99
Public Protection,Police Officer 2,194214.74
"Public Works, Transportation & Commerce",Transit Operator,59027.21
"Public Works, Transportation & Commerce",Eng/Arch/Landscape Arch Sr,206098.89
Public Protection,Community Police Services Aide,106689.18
Human Welfare & Neighborhood Development,Social Worker,14382.51
Culture & Recreation,Recreation Leader,15584.6
Culture & Recreation,Park Section Supervisor,122704.49
Public Protection,Deputy Court Clerk II,113592.59
Human Welfare & Neighborhood Development,Senior Eligibility Worker,70437.47
"Public Works, Transportation & Commerce",Electrician,145056.16
"Public Works, Transportation & Commerce",Assoc Engineer,92765.0
"Public Works, Transportation & Commerce",Museum Preparator,10799.65
Human Welfare & Neighborhood Development,Principal Clerk,92642.06
Culture & Recreation,IS Engineer-Senior,190579.17
Public Protection,Senior Account Clerk,99953.11
"Public Works, Transportation & Commerce",Transit Planner III,148922.0
Community Health,Registered Nurse,123267.13
Community Health,Epidemiologist 1,47840.97
"Public Works, Transportation & Commerce",Account Clerk,65554.55
"Public Works, Transportation & Commerce",Asst Engr,129799.07
Public Protection,Firefighter,169766.71
Human Welfare & Neighborhood Development,Manager II,26135.99
Culture & Recreation,Accountant II,32107.07
Culture & Recreation,Park Section Supervisor,139165.92
Culture & Recreation,Library Page,31840.0
Community Health,Manager II,121988.96
Public Protection,Automotive Service Worker,97168.57
Public Protection,Police Officer 3,207847.41
Community Health,Nutritionist,112817.03
"Public Works, Transportation & Commerce",Chemist I/II,121692.89
General Administration & Finance,Personnel Analyst,108268.75
Community Health,Nurse Practitioner,38253.57
"Public Works, Transportation & Commerce",Community Development Spec,109907.19
Culture & Recreation,Library Page,37018.61
"Public Works, Transportation & Commerce",Custodian,88381.37
"Public Works, Transportation & Commerce",Truck Driver,127308.05
"Public Works, Transportation & Commerce",Automotive Mechanic,130032.56
"Public Works, Transportation & Commerce",Transit Operator,113031.96
Human Welfare & Neighborhood Development,Emp & Training Spec 2,120367.52
Public Protection,Police Officer,126744.8
"Public Works, Transportation & Commerce",Survey Assistant I,25132.22
Culture & Recreation,IT Operations Support Admn III,59962.96
"Public Works, Transportation & Commerce",Transit Operator,21887.38
"Public Works, Transportation & Commerce",Plumbing Inspector,165013.79
Community Health,Health Worker 2,93071.21
Public Protection,Deputy Sheriff,159037.9
Community Health,Special Nurse,61648.48
"Public Works, Transportation & Commerce",Transit Operator,138715.81
"Public Works, Transportation & Commerce",Stationary Engineer,144199.47
General Administration & Finance,Asr-Office Assistant,75196.96
Community Health,Patient Care Assistant,70674.7
Culture & Recreation,Library Page,15363.67
Public Protection,Deputy Sheriff,162245.11
Public Protection,Police Officer,187588.91
"Public Works, Transportation & Commerce",Transit Operator,130200.54
"Public Works, Transportation & Commerce",Transit Operator,132718.06
"Public Works, Transportation & Commerce",Manager I,179567.41
Culture & Recreation,Library Page,46918.25
"Public Works, Transportation & Commerce",Assistant Storekeeper,78330.51
"Public Works, Transportation & Commerce",Manager II,129286.69
Human Welfare & Neighborhood Development,Protective Services Worker,133330.08
General Administration & Finance,Senior Collections Officer,82187.29
"Public Works, Transportation & Commerce","Stationary Eng, Sewage Plant",148377.98
Public Protection,EMT/Paramedic/Firefighter,190840.27
Public Protection,Firefighter,202733.65
Community Health,Clerk,48855.37
Human Welfare & Neighborhood Development,Junior Management Assistant,33549.76
"Public Works, Transportation & Commerce",Biologist I/II,147049.7
Community Health,Health Worker 2,117230.22
Public Protection,Police Officer,125560.75
Culture & Recreation,Library Page,29698.37
"Public Works, Transportation & Commerce",Accountant II,82180.91
Community Health,Physician Specialist,68238.34
Community Health,Registered Nurse,216926.71
Public Protection,Firefighter,177852.69
"Public Works, Transportation & Commerce",Snr Permit And Citation Clerk,93461.34
Community Health,Health Worker 3,74799.49
Culture & Recreation,Apprentice Gardener,63519.63
"Public Works, Transportation & Commerce",Utility Specialist,176521.16
"Public Works, Transportation & Commerce","Stdntdsgntrain3, Arch/Eng/Plng",10669.64
"Public Works, Transportation & Commerce",Dep Dir IV,270427.46
Community Health,Registered Nurse,147111.0
General Administration & Finance,IT Operations Support Admin IV,145567.95
Community Health,Nurse Manager,244372.03
Community Health,Nurse Practitioner,218059.67
"Public Works, Transportation & Commerce",Public Relations Mgr,181378.92
Community Health,Nursing Supervisor,85683.33
General Administration & Finance,Attorney (Civil/Criminal),58445.97
General Administration & Finance,Senior Clerk Typist,92805.35
"Public Works, Transportation & Commerce",General Laborer,78013.69
Community Health,Manager I,115613.2
Public Protection,Police Officer 2,205334.24
"Public Works, Transportation & Commerce",Utility Plumber,145801.06
Community Health,Licensed Vocational Nurse,123232.31
Public Protection,Criminalist II,157626.31
Community Health,Nurse Manager,263303.17
Culture & Recreation,Pool Lifeguard,15989.71
"Public Works, Transportation & Commerce",Stdntdsgn Train2/Arch/Eng/Plng,15882.86
Community Health,Patient Care Assistant,51080.42
Community Health,Pr Administrative Analyst,148669.89
Public Protection,Dep Dir I,176213.53
"Public Works, Transportation & Commerce",General Laborer,71418.15
Public Protection,Deputy Sheriff (SFERS),122137.02
Community Health,Porter,93385.56
"Public Works, Transportation & Commerce",Manager VI,234806.16
"Public Works, Transportation & Commerce",Electrical Transit System Mech,158080.32
General Administration & Finance,Senior Personnel Analyst,149762.91
Community Health,Registered Nurse,155639.03
"Public Works, Transportation & Commerce",Engineer,185218.66
"Public Works, Transportation & Commerce",Manager III,195533.05
"Public Works, Transportation & Commerce",Transit Operator,74344.46
"Public Works, Transportation & Commerce",Transit Operator,13377.47
Public Protection,Deputy Sheriff,168567.62
Public Protection,Police Officer 3,197206.14
Community Health,Health Worker 2,82701.38
General Administration & Finance,IT Operations Support Admn III,113614.24
"Public Works, Transportation & Commerce",Asst Engr,82267.78
Public Protection,Lieutenant 3,232081.59
Community Health,"Administrator, Department Of Public Heal",391756.1
Culture & Recreation,Manager I,180380.73
Human Welfare & Neighborhood Development,Senior Eligibility Worker,140593.55
"Public Works, Transportation & Commerce",Transit Operator,16394.3
Public Protection,Senior Clerk Typist,92760.4
Community Health,Food Service Worker,86527.03
Community Health,Registered Nurse,198176.66
"Public Works, Transportation & Commerce",Biologist I/II,133522.34
General Administration & Finance,Manager V,225121.09
Human Welfare & Neighborhood Development,Public Service Trainee,18701.44
General Administration & Finance,Custodian,84206.79
"Public Works, Transportation & Commerce",Airport Electrician,172526.1
Public Protection,Sheriff's Sergeant,177250.92
"Public Works, Transportation & Commerce",Automotive Mechanic,173375.3
Community Health,Senior Physician Specialist,325992.9
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,10940.66
Public Protection,Public Safetycomm Disp,149673.27
Public Protection,Police Officer 2,177695.46
"Public Works, Transportation & Commerce",Transit Operator,112250.58
"Public Works, Transportation & Commerce",General Laborer,103383.39
Human Welfare & Neighborhood Development,Public Svc Aide-Public Works,17556.36
Community Health,Cashier 2,92184.71
General Administration & Finance,Dep Dir II,217072.94
Community Health,Nurse Manager,115264.18
Public Protection,Attorney (Civil/Criminal),141171.32
Human Welfare & Neighborhood Development,Senior Eligibility Worker,111793.16
Community Health,Patient Care Assistant,122544.94
Culture & Recreation,Aquatics Facility Asst Supv,62582.88
Public Protection,Deputy Sheriff,149121.46
Public Protection,Publ Svc Aide-Asst To Prof,14724.13
Public Protection,"Lieutenant, Fire Suppression",286453.3
"Public Works, Transportation & Commerce",Senior Electrical Inpsector,199366.02
Human Welfare & Neighborhood Development,Eligibility Worker Supervisor,142304.29
Community Health,Patient Care Assistant,95262.85
"Public Works, Transportation & Commerce",Automotive Machinist,131030.92
Culture & Recreation,Library Technical Assistant 1,107706.46
General Administration & Finance,Automotive Mechanic,117518.42
Public Protection,Deputy Sheriff,16919.88
